id,string,number,olddate,boolean
250,billion,47451,1990-06-07,0
251,bag,70277,2017-03-16,1
252,stop,52362,2023-02-06,1
253,already,10794,1971-06-23,0
254,hospital,57757,2006-08-02,1
255,appear,73069,1999-07-04,0
256,along,17820,1997-07-21,1
257,begin,53660,1981-05-27,0
258,who,18932,1986-02-08,0
259,recently,35237,2000-03-24,1
260,cost,49407,2009-05-06,1
261,every,29301,1975-09-05,0
262,animal,36873,1978-03-16,1
263,my,84725,2014-06-05,1
264,bit,41114,1985-03-14,0
265,certainly,63608,1982-01-04,0
266,unit,69006,1994-06-04,1
267,key,50373,1995-09-21,0
268,little,13697,2002-11-14,0
269,professor,38612,2001-02-13,0
270,issue,30019,1987-07-04,0
271,any,24979,1998-04-02,0
272,deal,50486,2011-10-08,0
273,on,61035,1982-08-18,1
274,town,35506,1982-07-31,1
275,accept,92621,1972-04-21,1
276,all,62638,2020-05-16,0
277,piece,99223,1975-05-20,0
278,figure,98700,1982-01-23,1
279,measure,39172,2008-07-04,0
280,of,45851,1993-12-26,1
281,decade,66457,2014-08-31,1
282,American,20217,1982-03-10,0
283,range,47467,2012-08-25,1
284,collection,43939,2003-07-10,0
285,magazine,75310,1997-10-20,0
286,international,46481,2006-04-13,1
287,suffer,50404,1992-09-15,0
288,film,47230,2013-06-30,1
289,how,15100,1993-12-03,0
290,ready,82907,1974-09-23,1
291,nature,66255,1972-10-20,0
292,all,83718,1991-01-21,0
293,particularly,23055,2001-02-27,0
294,significant,18862,1988-08-19,1
295,physical,77521,2024-03-09,0
296,position,25013,2007-05-04,1
297,traditional,16514,1989-12-17,1
298,authority,95827,2017-02-16,1
299,instead,35478,1988-02-12,0
300,just,94518,2019-01-26,0
301,actually,94593,2014-11-05,1
302,whole,33374,1985-06-11,0
303,town,72790,1973-06-05,0
304,eat,19138,1998-12-18,0
305,art,15357,2015-09-14,0
306,according,30050,1991-03-18,0
307,positive,55275,2009-07-09,1
308,service,32762,1994-05-09,0
309,morning,90120,2002-05-05,1
310,again,96707,1980-04-15,0
311,skin,16028,2022-09-06,1
312,should,98867,1979-05-15,0
313,plan,24297,2012-09-24,0
314,director,11234,1977-12-19,1
315,top,28605,2001-01-06,1
316,minute,12172,2022-11-01,0
317,here,43164,1992-07-07,0
318,lawyer,53193,1971-06-11,1
319,agree,43384,1980-05-08,1
320,image,57422,2011-04-16,0
321,administration,37777,2009-02-24,1
322,real,31805,1994-05-15,0
323,political,55754,2022-08-30,1
324,certain,95654,1993-09-21,1
325,above,24569,1970-11-23,0
326,budget,12834,2001-03-09,0
327,item,37725,1988-09-19,0
328,place,53019,1983-06-06,0
329,perhaps,35273,2001-05-06,0
330,listen,15968,1996-01-22,0
331,see,35880,2022-03-08,0
332,author,46588,2014-06-22,1
333,inside,73345,1989-12-08,1
334,account,63240,2010-01-07,0
335,society,25593,1996-09-08,0
336,draw,62694,2017-11-20,1
337,let,41131,1997-10-28,0
338,we,53081,2007-06-11,1
339,wind,91845,1976-09-22,1
340,summer,67647,1983-04-09,0
341,what,63052,2012-12-25,1
342,public,14037,2000-07-01,0
343,performance,31911,1992-02-09,1
344,modern,64511,2001-04-19,0
345,move,52340,2014-07-10,1
346,doctor,21945,2006-06-22,0
347,policy,76238,1987-06-18,0
348,strong,80222,1988-05-18,0
349,issue,42093,1998-08-28,1
350,growth,46422,1991-09-07,1
351,talk,87639,2020-10-20,0
352,brother,57793,1977-04-30,0
353,discuss,21728,2013-08-26,0
354,upon,79419,2014-01-04,0
355,concern,29742,2009-05-18,0
356,agree,92061,2006-02-24,0
357,put,34700,2009-08-20,0
358,base,15429,2020-12-09,1
359,team,23742,1992-06-12,0
360,thousand,77938,1985-08-23,1
361,compare,72064,1991-11-22,1
362,political,44864,2001-11-25,0
363,interview,42036,1978-12-29,1
364,data,70782,2010-07-05,1
365,set,56544,2002-06-28,1
366,serve,78156,1980-01-07,0
367,news,28594,1971-03-13,0
368,onto,30273,1970-07-25,0
369,class,95540,2015-01-02,0
370,down,19626,1973-08-09,1
371,song,22188,1980-09-22,0
372,along,95246,1983-12-24,1
373,heavy,72759,2016-02-14,1
374,operation,26756,1988-03-24,1
375,later,27702,2020-04-24,0
376,collection,67396,1971-09-10,0
377,southern,46772,2023-02-22,1
378,few,76024,2006-10-02,0
379,positive,77478,1976-02-09,0
380,politics,56414,1974-12-19,1
381,foot,96557,2009-01-20,1
382,impact,97977,2002-06-26,1
383,everyone,17965,2019-07-16,0
384,phone,31710,1970-07-08,1
385,exactly,40915,2005-08-27,1
386,south,41144,1984-01-02,1
387,much,32217,2017-10-27,1
388,world,45279,1991-09-28,0
389,body,38459,2010-04-27,1
390,thank,38972,2021-08-03,1
391,book,95684,2008-12-26,1
392,suffer,50354,1983-12-17,1
393,half,73662,1970-09-25,1
394,thing,25488,2013-12-18,0
395,investment,71383,2011-01-07,1
396,significant,82899,1990-06-15,0
397,break,37195,2003-06-20,0
398,car,56000,2013-01-18,1
399,fund,26676,2018-04-29,1
400,affect,61213,1975-07-19,0
401,them,75634,1977-01-20,1
402,I,14556,2014-03-27,0
403,professor,39262,2020-02-19,1
404,clearly,59680,1992-05-01,0
405,late,75219,2009-10-05,1
406,house,30468,2007-05-06,1
407,college,45238,2012-05-23,1
408,wonder,52870,2012-06-17,0
409,fact,85165,2002-11-15,0
410,help,68095,2011-12-02,0
411,lay,80274,2021-05-27,0
412,nor,40959,2012-08-07,1
413,vote,87740,2005-08-24,0
414,every,38485,2005-09-21,1
415,foot,61091,1977-11-19,0
416,natural,44561,1996-03-29,0
417,mouth,65443,2005-06-13,1
418,computer,16772,1989-05-21,1
419,military,78634,1970-05-14,0
420,body,27924,2001-08-06,1
421,force,11123,2012-11-01,1
422,father,10337,1994-05-11,1
423,candidate,69565,2012-08-30,1
424,adult,37080,1986-05-16,0
425,crime,71224,1976-12-13,1
426,great,59606,2002-09-26,1
427,list,21583,2005-12-12,1
428,run,23421,1987-11-01,1
429,blood,18609,2008-03-05,0
430,office,38001,1991-09-26,1
431,view,99045,2005-07-04,1
432,hit,25084,1978-05-19,0
433,just,34645,1996-08-22,0
434,fly,92556,2001-07-07,0
435,truth,89603,2021-09-10,0
436,dinner,56573,1975-05-06,0
437,their,86593,2022-09-09,0
438,week,13247,2022-09-06,1
439,common,86282,2020-02-11,1
440,along,15224,2000-07-24,0
441,understand,76275,1985-03-23,1
442,never,10414,1972-12-02,1
443,she,35460,2006-04-08,1
444,clear,72475,2012-05-29,1
445,table,77495,1990-12-14,1
446,another,25309,2014-12-23,1
447,including,41114,1996-08-06,1
448,physical,72305,2011-10-23,1
449,surface,37411,1998-05-03,1
450,energy,38714,2022-02-08,1
451,group,55475,1979-09-27,1
452,third,95708,2023-07-22,1
453,important,12580,2013-03-02,1
454,Mrs,92371,1984-07-02,1
455,require,97918,2002-06-13,0
456,food,42514,2005-03-22,1
457,modern,54276,2006-11-05,1
458,deal,93456,1985-03-09,0
459,future,29599,1991-05-01,0
460,many,17640,2024-02-01,1
461,name,28647,2018-04-06,1
462,respond,31621,2002-06-05,0
463,risk,89693,2021-03-06,1
464,prepare,95080,1976-09-10,0
465,and,52275,2016-12-14,1
466,door,71032,2015-06-18,0
467,perhaps,96622,1979-03-09,1
468,if,49294,2009-12-09,1
469,over,63637,1974-06-08,1
470,tree,83920,1973-08-22,0
471,town,46651,1977-03-03,1
472,Congress,37386,1988-03-24,0
473,coach,99348,1991-01-25,1
474,address,13387,2009-11-13,1
475,through,85740,2023-04-25,0
476,boy,55451,2005-08-05,0
477,party,18922,1992-09-12,1
478,tonight,98786,1988-05-02,1
479,under,34488,1999-03-26,1
480,put,67331,2011-08-15,0
481,cover,44160,2015-11-17,0
482,treatment,98324,1982-05-25,1
483,include,86353,2019-08-06,1
484,plan,53225,2004-08-22,1
485,decide,46834,1994-02-18,0
486,statement,46732,1970-04-23,1
487,foot,61716,1986-01-08,1
488,discover,54237,1974-12-30,0
489,great,74203,1992-10-21,0
490,ability,59075,1993-08-04,1
491,education,62873,1990-05-20,1
492,indeed,57951,2015-04-18,0
493,floor,55927,2018-06-03,0
494,voice,76170,2018-08-22,0
495,maybe,72697,1981-04-05,0
496,performance,95830,2003-12-18,1
497,hard,95616,1980-09-25,0
498,car,32321,2009-07-23,0
499,kind,46875,1991-09-22,0
500,all,34540,1995-04-22,1
501,also,12717,1985-02-17,1
502,author,81158,1981-10-06,1
503,later,28753,2010-12-30,1
504,happen,79324,1988-04-18,1
505,remember,29575,2009-05-07,0
506,hundred,11689,2004-08-06,1
507,present,22009,2008-08-04,0
508,tree,40490,2004-05-02,0
509,state,29868,1995-08-02,1
510,structure,29202,2003-06-09,0
511,especially,88831,2020-06-10,1
512,before,80634,1975-04-03,1
513,also,31463,2001-11-26,0
514,Congress,21802,1986-06-28,0
515,give,65907,1972-06-03,0
516,animal,56842,2006-09-29,0
517,over,37587,1977-09-19,0
518,discuss,79737,2004-03-19,1
519,old,68062,2015-07-01,1
520,old,60963,1979-07-24,1
521,ground,76444,1970-01-07,1
522,small,36987,2021-12-06,1
523,view,49435,2010-04-30,0
524,enough,89038,1977-03-07,0
525,scene,16645,2022-03-05,0
526,American,53056,2015-09-03,1
527,onto,28989,1996-04-19,1
528,carry,30295,2010-01-25,0
529,week,66925,1993-12-04,0
530,short,48647,1976-07-10,1
531,could,51740,2013-01-01,0
532,meet,18502,1996-09-10,1
533,pretty,70080,1977-12-04,1
534,fact,16884,2012-03-14,1
535,investment,64462,2016-05-25,0
536,clearly,65728,1981-02-28,1
537,new,82151,2001-10-26,1
538,how,82381,1980-12-29,1
539,audience,32389,1999-04-05,0
540,wrong,38284,1982-12-11,0
541,lead,88113,2012-02-16,0
542,special,90976,1996-05-08,1
543,rise,88163,1995-02-11,1
544,level,65171,1993-04-01,1
545,son,87844,1984-07-12,1
546,voice,79266,1992-05-28,1
547,run,44475,2015-12-29,1
548,article,17341,1986-06-10,1
549,reduce,94154,2016-01-30,1
550,culture,64282,1974-06-12,1
551,step,20789,1978-04-25,1
552,field,73436,2023-12-22,0
553,event,23520,2010-04-17,1
554,factor,19527,2012-06-25,1
555,take,84272,2013-05-01,0
556,out,79488,2008-05-17,0
557,old,15374,2007-02-02,1
558,we,82147,1981-11-29,1
559,anything,17859,2002-03-16,1
560,visit,48354,2000-09-04,1
561,response,53610,1970-01-23,1
562,must,23669,1990-08-13,0
563,president,30890,1985-12-18,0
564,according,80481,1982-01-25,1
565,less,73174,1982-06-09,0
566,near,91014,1980-11-07,1
567,fill,13659,2023-02-21,0
568,this,60880,2006-08-23,1
569,wide,57622,2000-09-09,1
570,air,89495,1982-03-22,1
571,commercial,24402,2001-02-22,1
572,they,19083,2007-05-17,0
573,should,59567,2012-01-07,1
574,word,67505,1996-09-03,0
575,sense,82711,2013-04-19,0
576,ask,71276,1994-12-04,1
577,see,72155,1975-12-25,1
578,nor,14751,1971-07-28,1
579,feel,83955,1987-09-27,0
580,small,88992,1991-10-10,0
581,notice,73546,1977-02-24,1
582,message,25522,1971-04-16,0
583,hundred,80871,2019-09-21,1
584,many,37662,1984-05-02,1
585,drive,61725,2018-03-01,0
586,student,30293,1981-04-02,1
587,cold,13249,2005-05-25,0
588,plant,40839,2022-05-08,0
589,billion,27529,2010-08-10,1
590,card,83784,1994-01-30,1
591,that,43922,1990-04-22,0
592,stage,30792,1991-05-09,0
593,ask,37672,1981-03-17,0
594,toward,83982,2021-11-06,0
595,explain,65174,1988-01-30,0
596,yeah,84134,2016-09-10,1
597,defense,58383,2018-01-12,0
598,result,14312,2023-01-04,0
599,benefit,24980,1977-03-18,1
600,various,90335,2019-12-12,1
601,win,63541,1985-07-04,1
602,contain,13289,2011-03-27,0
603,behavior,68865,2009-08-02,1
604,forget,97366,2020-11-06,0
605,work,90165,1989-08-17,1
606,century,94603,2020-12-02,0
607,major,95460,1980-11-21,0
608,hard,20142,2010-07-19,0
609,magazine,58984,2004-01-21,0
610,return,96870,2000-10-25,0
611,save,98418,2023-09-27,0
612,party,63594,1980-06-01,0
613,best,77143,2018-09-21,0
614,station,57653,2015-09-04,1
615,reason,28484,1995-05-29,0
616,let,28015,1972-04-26,0
617,data,19399,2010-01-22,0
618,interest,83594,2006-10-31,1
619,yard,87032,2024-03-14,0
620,cup,23354,1977-06-25,1
621,dream,49804,1999-07-17,1
622,too,96875,1997-01-23,1
623,study,98734,1987-02-12,1
624,court,79125,1990-02-24,0
625,sometimes,53850,1970-07-21,1
626,together,32648,1974-09-29,1
627,then,72567,2013-02-02,1
628,seem,74239,1989-04-17,1
629,also,35963,2004-12-15,1
630,majority,13217,2021-04-07,0
631,I,22914,2001-10-20,0
632,performance,34692,1979-11-30,0
633,other,57327,2011-11-03,1
634,beautiful,64069,1972-12-03,0
635,local,58891,1988-04-15,0
636,agency,21540,1992-02-22,0
637,room,80729,2008-03-03,1
638,walk,14284,1981-05-12,0
639,go,52141,2017-01-29,0
640,rule,91201,2016-06-19,0
641,ready,78616,2009-09-01,0
642,bring,68785,1987-08-31,1
643,generation,32439,1992-03-22,1
644,once,30828,1980-03-08,1
645,she,45065,1983-08-06,0
646,child,40529,1981-09-04,0
647,performance,13629,1997-02-22,1
648,difference,59198,2005-12-02,0
649,wall,97603,2018-03-27,1
650,hear,64938,1987-12-08,0
651,top,48171,2007-02-12,0
652,hotel,80735,2022-04-29,1
653,we,88340,1994-03-17,1
654,see,37785,1982-06-04,1
655,student,41843,2003-10-13,0
656,three,22774,1985-09-12,0
657,plan,35258,2008-03-13,1
658,fear,32842,2014-05-30,1
659,speech,63305,2009-01-23,1
660,end,40027,1982-09-08,0
661,threat,48194,1991-07-06,0
662,clear,61802,2006-09-27,1
663,mother,47579,2021-08-04,0
664,sure,18338,1976-12-20,1
665,prove,86409,2008-05-08,1
666,road,21101,2023-06-05,1
667,look,94830,1989-12-18,0
668,up,63818,1970-12-01,1
669,sure,64992,2023-02-23,1
670,just,14231,2000-11-18,1
671,effort,36768,2003-06-15,0
672,three,28455,1972-01-27,0
673,hope,40946,2014-04-28,0
674,national,72030,1993-05-27,0
675,nothing,58360,2003-08-07,0
676,close,31660,2008-11-29,0
677,while,76373,1975-10-31,0
678,their,17555,2005-07-13,0
679,energy,85215,1972-03-05,1
680,fact,91072,1992-04-14,0
681,money,37688,1997-12-23,0
682,first,38227,1976-02-10,1
683,first,21839,1998-12-25,1
684,chair,88533,1983-01-22,1
685,big,21418,1998-06-13,0
686,give,61207,1982-11-25,1
687,hot,83858,2014-03-06,0
688,Mr,54975,1996-12-04,1
689,Republican,49441,2022-12-24,0
690,mission,15846,1988-10-17,1
691,represent,74280,1976-10-27,0
692,rule,21983,2016-10-18,1
693,finally,43130,2002-07-12,0
694,easy,91619,2012-11-27,1
695,Republican,30814,1988-09-30,0
696,house,62958,1973-08-09,1
697,difficult,57078,1981-05-02,1
698,car,99680,1986-09-22,1
699,against,55787,1999-07-31,0
700,indicate,56402,2002-06-24,0
701,drive,81107,2008-10-16,1
702,officer,31127,2005-11-05,1
703,option,76021,1996-09-22,1
704,rather,32267,1993-12-06,1
705,loss,93323,2019-09-30,0
706,work,74536,1989-05-24,1
707,majority,23222,1997-07-13,1
708,range,64049,1986-02-05,0
709,model,67907,1992-05-26,0
710,professional,88338,1991-09-30,1
711,specific,77378,2007-04-19,0
712,while,51651,1979-08-18,0
713,rise,76178,2014-11-25,1
714,ago,65355,2003-11-08,1
715,research,32740,1979-06-25,1
716,whole,46172,2022-05-08,0
717,such,60287,2000-10-01,0
718,just,96086,2008-09-20,1
719,watch,17945,2018-10-19,0
720,reveal,38276,2003-09-20,0
721,choice,96999,1983-09-13,0
722,compare,39767,1996-09-09,1
723,easy,27128,1980-11-15,1
724,glass,14390,2021-09-20,0
725,pick,98928,2000-04-02,1
726,whose,94273,2023-07-08,0
727,country,23898,1979-03-29,1
728,film,69091,1994-07-25,0
729,fact,10336,1971-09-15,0
730,deal,12322,2008-01-27,0
731,brother,53248,1973-06-09,1
732,television,49520,1977-08-30,0
733,difference,62451,2021-05-26,1
734,thing,15247,2001-07-10,1
735,determine,97947,2007-04-18,0
736,read,13640,2000-08-31,1
737,western,11267,1999-11-24,0
738,use,94407,1996-12-07,0
739,way,10919,1970-12-15,0
740,night,44625,2004-02-11,0
741,action,72844,1991-10-27,0
742,fund,62685,1987-06-22,0
743,drive,47360,2000-08-22,1
744,likely,98705,2022-12-30,0
745,check,48902,1993-09-02,0
746,heart,60679,1996-09-25,1
747,name,97089,2007-05-15,1
748,accept,79720,2003-03-15,0
749,final,13319,1976-09-10,0
750,range,47780,2017-12-13,0
751,future,16491,1991-09-30,0
752,outside,95388,1997-04-14,0
753,magazine,83471,1970-10-29,0
754,gun,12635,1973-07-14,0
755,hard,66600,2015-03-05,1
756,government,80104,2020-06-14,1
757,community,86636,1971-11-17,1
758,anyone,31565,1992-12-09,0
759,community,49168,2013-05-22,0
760,social,79730,2015-10-01,1
761,trouble,19053,1998-02-02,1
762,she,73635,2007-05-01,1
763,change,68906,1978-12-18,0
764,mean,56181,1996-04-28,1
765,school,85826,2009-08-09,1
766,light,95376,2011-10-05,1
767,magazine,83557,2011-07-04,1
768,upon,81069,1996-09-10,1
769,trouble,50862,2002-12-08,0
770,play,85382,1973-04-07,1
771,myself,89506,1996-04-02,1
772,accept,83288,2001-12-04,1
773,customer,57726,2013-03-31,1
774,realize,59273,2016-09-13,1
775,other,72870,1992-02-02,1
776,thought,63277,2003-01-04,0
777,cover,62175,1992-01-27,0
778,customer,23396,2007-09-23,0
779,year,90914,1993-08-08,0
780,law,87805,1995-12-25,0
781,technology,43995,1974-05-23,1
782,serious,21177,2009-02-05,1
783,happen,41890,2012-09-18,0
784,control,73131,1993-03-28,0
785,next,93860,1985-08-10,0
786,paper,39038,2012-06-15,1
787,majority,25325,2015-05-15,0
788,game,53239,1987-09-04,1
789,factor,61922,2011-06-15,1
790,without,10690,2013-03-22,1
791,moment,78521,2011-10-15,0
792,despite,44108,2019-10-08,0
793,contain,41320,2014-03-31,1
794,across,63675,1993-07-31,1
795,character,63888,2009-01-01,1
796,argue,24016,2017-03-21,1
797,institution,35694,2020-12-21,0
798,sit,34491,1981-07-12,0
799,any,34626,1995-11-05,0
800,measure,80709,2018-05-28,0
801,sit,81470,2009-11-12,1
802,especially,33954,2012-08-27,0
803,this,84290,1999-01-05,1
804,support,27035,1998-11-28,1
805,rule,21381,2008-11-07,0
806,ability,90353,1986-03-15,0
807,rate,27513,1989-02-25,1
808,official,48974,1971-05-04,1
809,someone,31273,1971-12-12,0
810,bag,73574,1999-06-10,1
811,perhaps,96756,1977-08-03,0
812,international,90056,2015-07-27,1
813,question,69562,1970-07-21,0
814,control,30249,2017-07-01,0
815,number,23659,2021-11-28,1
816,meeting,57887,2013-12-11,0
817,clearly,98731,2012-03-25,0
818,music,21622,1996-11-13,0
819,program,38562,2014-10-25,1
820,outside,78548,2003-05-15,1
821,business,63951,1975-09-02,0
822,cold,26535,2024-01-26,0
823,receive,57793,1987-08-28,1
824,sister,63039,1974-06-29,1
825,blood,24198,1971-08-24,1
826,film,95107,1983-02-12,1
827,arm,65263,1981-08-26,1
828,financial,54079,1973-05-16,0
829,everything,44697,1999-09-13,0
830,student,76568,2017-02-15,0
831,work,62150,1999-10-27,0
832,three,62330,2011-06-23,0
833,admit,68279,1994-04-05,0
834,Congress,51101,2017-10-20,1
835,perhaps,92756,2006-06-20,0
836,produce,26319,1987-09-27,0
837,miss,78920,1979-01-01,1
838,arm,79015,1977-09-15,1
